source_url,target_url,status_code,reason
# Host canonicalization — all non-www hosts redirect to www
https://rushnomore.com/:path*,https://www.rushnomore.com/:path*,301,Apex to www canonical
https://old.rushnomore.com/:path*,https://www.rushnomore.com/:path*,301,Legacy subdomain
https://m.rushnomore.com/:path*,https://www.rushnomore.com/:path*,301,Legacy mobile subdomain
https://www2.rushnomore.com/:path*,https://www.rushnomore.com/:path*,301,Legacy staging subdomain
# WordPress legacy cleanup
/wp-admin/:path*,/,301,WordPress admin remnant
/wp-login.php,/,301,WordPress login remnant
/wp-content/:path*,/,301,WordPress uploads remnant
/wp-includes/:path*,/,301,WordPress includes remnant
/xmlrpc.php,/,301,WordPress XML-RPC remnant
/wp-json/:path*,/,301,WordPress REST API remnant
/wp-cron.php,/,301,WordPress cron remnant
/feed,/,301,WordPress feed
/feed/:path*,/,301,WordPress feed subpaths
/rss,/,301,WordPress RSS
/rss.xml,/,301,RSS feed remnant
/atom.xml,/,301,Atom feed remnant
/comments/feed/:path*,/,301,WordPress comments feed
/category/:path*,/,301,WordPress taxonomy
/tag/:path*,/,301,WordPress taxonomy
/author/:path*,/,301,WordPress author archives
/trackback/:path*,/,301,WordPress trackback remnant
/wlwmanifest.xml,/,301,WordPress Live Writer remnant
# Legacy HTML / PHP extensions
/index.html,/,301,Static index legacy
/index.php,/,301,PHP index legacy
/home.html,/,301,Static home legacy
/default.html,/,301,Static default legacy
# Legacy paths
/park-map,/map,301,Map renamed
/parkmap,/map,301,Map naming variant
/site-map,/map,301,Site-map path
/public/:path*,/,301,Public dir legacy
/index/:path*,/,301,Index subpath legacy
# Accommodation slug canonicalization
/rv-sites,/stay/rv-sites,301,Canonical under /stay
/rv-sites/:path*,/stay/rv-sites,301,Canonical under /stay
/cabins,/stay/cabins,301,Canonical under /stay
/cabins/:path*,/stay/cabins,301,Canonical under /stay
/camping,/stay/tent-camping,301,Canonical tent under /stay
/tent-camping,/stay/tent-camping,301,Canonical under /stay
/tent-sites,/stay/tent-camping,301,Canonical under /stay
/accommodations,/stay,301,Accommodations alias
/lodging,/stay,301,Lodging alias
/rv-park,/stay/rv-sites,301,Head-term alias
/rv-resort,/stay/rv-sites,301,Head-term alias
# Keyword-rich alias URLs → canonical money pages (no duplicates)
/sturgis-campgrounds,/stay,301,Keyword alias — avoid duplicate content
